Gx,Gy,Tx,Ty,,D6S8S,D7S9S,D2S3S,D4S5S,D2S5S,D3S4S,D6T8T,D7T9T,D2T3T,D4T5T,D2T5T,D3T4T,,FS_1S,FS_1T,FS_2S,FS_2T,FS_3S,FS_3T,FS_4S,FS_4T,FS_5S,FS_5T,FS_6S,FS_6T,FS_7S,FS_7T,FS_8S,FS_8T,FS_9S,FS_9T,FS_Ave_S_G2 [2 3 4 5],FS_Ave_T_G2 [2 3 4 5],FS_Ave_S_G3 [6 7 8 9],FS_Ave_T_G3 [6 7 8 9],FS_Delta_S_G2 [2 3 4 5],FS_Delta_T_G2 [2 3 4 5],FS_Delta_S_G3 [6 7 8 9],FS_Delta_T_G3 [6 7 8 9],PeakMTF_1S,PeakMTF_1T,PeakMTF_2S,PeakMTF_2T,PeakMTF_3S,PeakMTF_3T,PeakMTF_4S,PeakMTF_4T,PeakMTF_5S,PeakMTF_5T,PeakMTF_6S,PeakMTF_6T,PeakMTF_7S,PeakMTF_7T,PeakMTF_8S,PeakMTF_8T,PeakMTF_9S,PeakMTF_9T,Date-Time
0.058,0.073,0.365,-0.37,,-33.2,23,-49.4,32,11.2,28.6,-26.4,23,-23.6,13.8,16.8,26.6,,--,-2.4,-17,15,32.4,38.6,3.8,12,-28.2,-1.8,-23,-10,0.2,17,10.2,16.4,-22.8,-6,-2.3,16,-8.8,4.4,60.6,40.4,33.2,27,65.4,63.3,61.5,56.9,58.9,47.7,53.9,39.7,60.7,53.7,60,57.8,53.6,59.2,57.7,55.9,56.3,60.1,2025/05/22/16:45:03
0.021,0.053,0.05,-0.22,,21.6,31.2,-4.2,-16.2,17.8,38.2,12.4,29.2,12.6,-10.2,18.6,16.2,,--,4.8,12.4,46,16.6,33.4,-21.6,17.2,-5.4,27.4,1.6,14.8,15.6,22.8,-20,2.4,-15.6,-6.4,0.5,31,-4.6,8.4,38.2,28.8,35.6,29.2,61.2,68,49.4,42,57.6,39.2,50.1,40.9,56.6,48.6,56.6,63.4,54.2,39.8,53.1,60.7,64.5,51.9,2025/05/22/16:45:13
0.073,0.019,0.33,0.06,,19.6,9.8,-1.8,-13.2,-0.4,14.6,11.8,2.4,10.8,-8.8,-1,-3,,--,1.2,1.8,28.4,3.6,17.6,-11,20.6,2.2,29.4,1.8,11,0.6,6.2,-17.8,-0.8,-9.2,3.8,-0.8,24,-6.2,5.1,14.6,11.8,19.6,11.8,66.3,70.9,55.9,45.3,62.8,42.3,53.3,43.8,60.3,52.3,60.6,65.3,59.4,47,58,64.8,67.3,55.9,2025/05/22/16:45:24
0.01,0.041,-0.46,0.21,,-13.2,15.6,-29.8,16.8,5.2,18.2,-13.2,15.4,-9.8,8.4,9.6,11,,--,-1.8,-10.2,15.4,19.6,25.2,1.4,14.2,-15.4,5.8,-11.8,-4.2,1.2,14.2,1.4,9,-14.4,-1.2,-1.2,15.2,-5.9,4.5,35,19.4,15.8,18.4,69.1,70.9,67.6,63.2,68.7,51.4,60.1,47,68.2,58.4,66,67.8,66.1,65.2,62.8,66.2,66.8,64.3,2025/05/22/16:45:40
0.061,0.002,-0.22,-0.285,,25,36.6,5.6,-17.2,28,39.6,16.6,37.4,22.8,-14.2,34.2,25.6,,--,-2.2,18.2,38.2,12.6,15.4,-27,-10.2,-9.8,4,7.6,10,10.8,23.8,-17.4,-6.6,-25.8,-13.6,-1.5,11.9,-6.2,3.4,45.2,48.4,36.6,37.4,71.5,73.4,68.4,65.6,69.6,56.1,62.7,51.3,69.4,58.6,67.8,70.2,71,69.9,65.8,68.5,69.9,66.3,2025/05/22/16:45:50
0.026,-0.043,-0.225,-0.46,,37,26.2,12.4,-35.2,10.8,33.6,31.2,25,25.4,-33.6,10,18.2,,--,4.8,16.6,50,4.2,24.6,-29.4,6.4,5.8,40,9.6,23,12.6,20.8,-27.4,-8.2,-13.6,-4.2,-0.7,30.3,-4.7,7.8,46,43.6,40,31.2,61.6,68.4,50.2,43.4,58.5,38.4,50.3,42.3,58.2,48.2,57.5,64.6,54.1,40.1,52.6,59.7,65.1,52.5,2025/05/22/16:46:00
-0.062,0.046,-0.45,0.305,,-19.2,12.8,-43.2,15.2,-8.4,19.6,-18.4,6,-28,9.6,-6.6,11.8,,--,0.4,-20.6,12.2,22.6,40.2,3,28.4,-12.2,18.8,-15.2,-3,2.8,9.8,4,15.4,-10,3.8,-1.8,24.9,-4.6,6.5,43.2,28,19.2,18.4,64.9,67.4,55.2,55.8,65.4,41.4,50.1,41.8,64.6,51.2,62.3,65.6,56.3,50.2,55.5,57.5,62.6,57.2,2025/05/22/16:46:26
-0.009,-0.018,0.32,-0.45,,-32.4,-25.2,-46.4,34.4,-32.8,-20.8,-31.2,-23,-29,28.6,-26.6,-26.2,,--,-3,-38,-11.2,8.4,17.8,29.2,44,-5.2,15.4,-22.2,-13.6,-20,-5.6,10.2,17.6,5.2,17.4,-1.4,16.5,-6.7,4,67.2,55.2,32.4,31.2,69.6,71.2,67.9,63.5,67.4,49.9,61.2,46.9,68.9,60.4,65.9,67.6,65.4,63.1,63.3,64.6,66.9,65,2025/05/22/16:46:36
-0.077,-0.065,0.05,-0.085,,-27.8,-27,-40,28.6,-30.4,-19,-26.8,-16,-14.8,22,-12.4,-19.6,,--,-4.4,-35.2,-4.8,4.8,10,23.8,29.6,-4.8,7.6,-19,-13.2,-22.6,-2.6,8.8,13.6,4.4,13.4,-2.9,10.6,-7.1,2.8,59,34.4,31.4,26.8,67.8,69.7,67.4,61.2,60.7,56.9,67.1,49,66.7,61.1,63,65.4,67.5,64.6,63.1,64.6,66.4,67.5,2025/05/22/16:46:46
0.001,-0.006,0.14,-0.055,,-37.4,-24.8,-38.2,35.8,-22,-19.6,-31.4,-13.8,-6,20.8,0,-14.8,,--,-4.6,-34.2,8.8,4,14.8,23.6,29.6,-12.2,8.8,-24.8,-14.6,-25.2,-2.6,12.6,16.8,-0.4,11.2,-4.7,15.5,-9.4,2.7,57.8,20.8,37.8,31.4,61.7,60.3,60.4,42.5,47.8,48.8,61.9,37.5,55.1,56,55.5,53.1,56.9,56.4,55.4,51.8,51.2,60.3,2025/05/22/16:46:55
0.031,0.001,0.445,-0.08,,5.6,-11,-10.2,-1,-16.6,-5.4,3.8,-2.6,13.8,-6.2,-1.8,-9.4,,--,-4.2,-13.6,15,-3.4,1.2,2,10.6,3,16.8,-2.4,2.2,-14.4,3.8,-8,-1.6,-3.4,6.4,-3,10.9,-7,2.7,16.6,15.6,12,8,70.1,71.7,68,63.4,64.4,57.3,67.1,50.4,68.5,60.9,64.8,67.5,70.3,67.3,64.5,65.9,68.2,68.1,2025/05/22/16:47:04
